path,regime,mask_ratio,mse,ssim,psnr,lpips
./CelebAMask-HQ/CelebA-HQ-img\22084.jpg,medium,0.1102447509765625,0.0026026980485767126,0.8801924586296082,25.845760345458984,0.07475482672452927
./CelebAMask-HQ/CelebA-HQ-img\1630.jpg,medium,0.1377105712890625,0.0020111205521970987,0.9288389682769775,26.96561622619629,0.08511331677436829
./CelebAMask-HQ/CelebA-HQ-img\20245.jpg,medium,0.13427734375,0.003254368668422103,0.9262869358062744,24.87533187866211,0.0982719138264656
./CelebAMask-HQ/CelebA-HQ-img\24721.jpg,medium,0.10552978515625,0.0006916245329193771,0.9639158248901367,31.601295471191406,0.03746868297457695
./CelebAMask-HQ/CelebA-HQ-img\29584.jpg,medium,0.1022186279296875,0.0014517324743792415,0.9468795657157898,28.381132125854492,0.059020258486270905
./CelebAMask-HQ/CelebA-HQ-img\5098.jpg,medium,0.12451171875,0.001905066310428083,0.9467495679855347,27.200897216796875,0.07633902132511139
./CelebAMask-HQ/CelebA-HQ-img\1723.jpg,medium,0.1022186279296875,0.003644699929282069,0.9506356120109558,24.38338279724121,0.05881869047880173
./CelebAMask-HQ/CelebA-HQ-img\2783.jpg,medium,0.12261962890625,0.0027762900572270155,0.9209083318710327,25.565349578857422,0.08829277753829956
./CelebAMask-HQ/CelebA-HQ-img\19537.jpg,medium,0.1494140625,0.002363386796787381,0.9208428263664246,26.264650344848633,0.0797763541340828
./CelebAMask-HQ/CelebA-HQ-img\18598.jpg,medium,0.1102294921875,0.003047921461984515,0.9440833330154419,25.159961700439453,0.06988739222288132
./CelebAMask-HQ/CelebA-HQ-img\25455.jpg,medium,0.098876953125,0.003924691583961248,0.9232715368270874,24.06194496154785,0.07304646074771881
./CelebAMask-HQ/CelebA-HQ-img\28843.jpg,medium,0.1259765625,0.001013473141938448,0.9505819082260132,29.941875457763672,0.07188224047422409
./CelebAMask-HQ/CelebA-HQ-img\23645.jpg,medium,0.135406494140625,0.0031591332517564297,0.9360074996948242,25.00432014465332,0.07772073149681091
./CelebAMask-HQ/CelebA-HQ-img\10211.jpg,medium,0.141998291015625,0.001955130835995078,0.929804801940918,27.088239669799805,0.07891274243593216
./CelebAMask-HQ/CelebA-HQ-img\12125.jpg,medium,0.1022186279296875,0.0007106154225766659,0.9512879848480225,31.483652114868164,0.05134755000472069
./CelebAMask-HQ/CelebA-HQ-img\5157.jpg,medium,0.10125732421875,0.0014977562241256237,0.9514371752738953,28.245586395263672,0.06986354291439056
./CelebAMask-HQ/CelebA-HQ-img\11170.jpg,medium,0.14794921875,0.002154750283807516,0.9380006790161133,26.66602897644043,0.07888134568929672
./CelebAMask-HQ/CelebA-HQ-img\14865.jpg,medium,0.1376953125,0.005432989448308945,0.9028067588806152,22.64961051940918,0.09722449630498886
./CelebAMask-HQ/CelebA-HQ-img\13757.jpg,medium,0.12744140625,0.0007202115375548601,0.9477679133415222,31.425397872924805,0.06179876998066902
